id,title,source_name,source_url,published_date,topic_category,content_snippet,reliability_score,collection_method
rss-0001,Blue Origin’s New Glenn rocket explodes during testing in Florida,TechCrunch,https://techcrunch.com/2026/05/28/blue-origins-new-glenn-rocket-explodes-during-testing-in-florida/,2026-05-29,technology,"The explosion is likely a major setback for Jeff Bezos' spaceflight company, and its attempt to compete with SpaceX.",4,rss_feed
rss-0002,Glean’s top line crosses $300M as AI budget-cutting becomes its major selling point,TechCrunch,https://techcrunch.com/2026/05/28/gleans-top-line-crosses-300m-as-ai-budget-cutting-becomes-its-major-selling-point/,2026-05-29,ai_ml,The enterprise AI search startup tripled its annual revenue even as tech giants entered the category.,4,rss_feed
rss-0003,Waymo dominates autonomous vehicle registrations as Tesla trails behind,TechCrunch,https://techcrunch.com/2026/05/28/waymo-dominates-texas-autonomous-vehicle-registrations-as-tesla-trails-behind/,2026-05-29,big_tech,A new law and AV tracker tool gives the clearest accounting yet of how many robotaxis and self-driving trucks are in Texas.,4,rss_feed
rss-0004,"How to apply to Startup Battlefield 2026, what you need ahead of the June 8 deadline",TechCrunch,https://techcrunch.com/2026/05/28/how-to-apply-to-startup-battlefield-2026-what-you-need-ahead-of-the-june-8-deadline/,2026-05-28,business,"Startup Battlefield applications are due tomorrow, so now's the time to put the finishing touches on your submission!",4,rss_feed
rss-0005,The internet is being rebuilt for machines,TechCrunch,https://techcrunch.com/2026/05/28/the-internet-is-being-rebuilt-for-machines/,2026-05-28,technology,"As AI agents move from experiments to production, AWS, Cloudflare, and others are redesigning cloud infrastructure for a future dominated by machine-generated internet traffic instead of human users.",4,rss_feed
rss-0006,Slate Auto will announce pricing and take preorders for its EV on June 24,TechCrunch,https://techcrunch.com/2026/05/28/slate-auto-will-announce-pricing-and-take-preorders-for-its-ev-on-june-24/,2026-05-28,technology,"The Bezos-backed EV startup has yet to announce final pricing for its vehicle, which is supposed to start shipping by the end of this year.",4,rss_feed
rss-0007,Asana acquires no-code agent-builder StackAI,TechCrunch,https://techcrunch.com/2026/05/28/asana-acquires-no-code-agent-builder-stack-ai/,2026-05-28,ai_ml,Asana will incorporate StackAI into its growing suite of AI workflow tools.,4,rss_feed
rss-0008,Bluesky embraces long-form content to counter X Articles,TechCrunch,https://techcrunch.com/2026/05/28/bluesky-embraces-long-form-content-to-counter-x-articles/,2026-05-28,technology,"In its latest update, Bluesky is getting into long-form content.",4,rss_feed
rss-0009,Hackers are trying to steal Signal users’ backups in new wave of phishing attacks,TechCrunch,https://techcrunch.com/2026/05/28/hackers-are-trying-to-steal-signal-users-backups-in-new-wave-of-phishing-attacks/,2026-05-28,security,"A new hacking campaign is trying to trick Signal users to give up their secret recovery key, which can be used to access online backups containing past messages.",4,rss_feed
rss-0010,"Anthropic raises $65 billion, nears $1T valuation ahead of IPO",TechCrunch,https://techcrunch.com/2026/05/28/anthropic-raises-65-billion-nears-1t-valuation-ahead-of-ipo/,2026-05-28,ai_ml,"Anthropic has closed a $65 billion Series H round at a $965 billion post-money valuation, marking what could be the AI startup's final private fundraise before a highly anticipated IPO.",4,rss_feed
rss-0011,"Just like gold and oil, we’ll soon be able to trade AI token futures",TechCrunch,https://techcrunch.com/2026/05/28/just-like-gold-and-oil-well-soon-be-able-to-trade-ai-token-futures/,2026-05-28,ai_ml,"Large exchanges are designing derivative products around AI tokens, which are increasingly being considered less a computational output and more a raw material input, like electricity or bandwidth.",4,rss_feed
rss-0012,"H1 secures $40M from CVS, proving SaaS startups can still attract investment",TechCrunch,https://techcrunch.com/2026/05/28/h1-secures-40m-from-cvs-proving-saas-startups-can-still-attract-investment/,2026-05-28,technology,"CEO Ariel Katz argues that while AI can replicate workflow SaaS, it can't copy H1’s unique doctor data.",4,rss_feed
rss-0013,A security lapse at prison pay phone service Pay Tel publicly exposed over 300K callers’ driver’s licenses,TechCrunch,https://techcrunch.com/2026/05/28/a-security-lapse-at-prison-payphone-service-pay-tel-publicly-exposed-over-300000-callers-drivers-licenses/,2026-05-28,security,Pay Tel secured the publicly exposed data after security researchers discovered the leak containing callers' sensitive ID documents and inmate communications.,4,rss_feed
rss-0014,Why Paris may be the most important AI city outside Silicon Valley,TechCrunch,https://techcrunch.com/2026/05/28/why-paris-may-be-the-most-important-ai-city-outside-silicon-valley/,2026-05-28,ai_ml,Europe’s startup ecosystem has matured significantly; its founders are increasingly willing to scale companies domestically instead of immediately looking to relocate to the U.S.,4,rss_feed
rss-0015,"In just 3 weeks, StrictlyVC is coming to Los Angeles",TechCrunch,https://techcrunch.com/2026/05/28/in-just-3-weeks-strictlyvc-is-coming-to-los-angeles/,2026-05-28,technology,"StrictlyVC Los Angeles is on June 18. Join for meaningful networking and fireside chats with leaders from Mach Industries, Shinkei Systems, and more. Register today.",4,rss_feed
rss-0016,Startup Battlefield 200 application deadline extended to June 8 after overwhelming demand,TechCrunch,https://techcrunch.com/2026/05/28/startup-battlefield-200-application-deadline-extended-to-june-8-after-overwhelming-demand/,2026-05-28,business,"After overwhelming demand from founders around the world, TechCrunch has extended the Startup Battlefield 200 application deadline to June 8. Nominate a standout startup or apply yours today.",4,rss_feed
