record_id,source_name,source_type,title,text,author,url,posted_at,engagement_score,comments_count,tags,content_hash,collected_at,quality_status
48312337,hacker_news,discussion,AI Agent Frameworks Comparison,,jackalxyz,https://deepresearch.ninja/2026/05/AI-Agent-Frameworks-A-Comparative-Analysis-of-DSPy-Claude-Agent-SDK-OpenAI-Agents-SDK-CrewAI-AutoGen-LangGraph-and-Google-ADK/,2026-05-28,3,1,ai agents,hacker_news|AI Agent Frameworks Comparison|https://deepresearch.ninja/2026/05/AI-Agent-Frameworks-A-Comparative-Analysis-of-DSPy-Claude-Agent-SDK-OpenAI-Agents-SDK-CrewAI-AutoGen-LangGraph-and-Google-ADK/,2026-05-28,complete
48311685,hacker_news,discussion,Un asistente de IA que termina tareas reales en tu ordenador,,dash_ai,https://news.ycombinator.com/item?id=48311685,2026-05-28,1,0,ai agents,hacker_news|Un asistente de IA que termina tareas reales en tu ordenador|https://news.ycombinator.com/item?id=48311685,2026-05-28,complete
48310448,hacker_news,discussion,Why $/token is the wrong metric for Enterprise AI (agentic) applications,,ravikiran9gopal,https://canyoncode.ai/blog/beyond-per-token,2026-05-28,2,0,ai agents,hacker_news|Why $/token is the wrong metric for Enterprise AI (agentic) applications|https://canyoncode.ai/blog/beyond-per-token,2026-05-28,complete
48310211,hacker_news,discussion,Show HN: AI Skill to port PostgreSQL extensions to MySQL,,deesix,https://github.com/villagesql/villagesql-skills,2026-05-28,2,0,ai agents,hacker_news|Show HN: AI Skill to port PostgreSQL extensions to MySQL|https://github.com/villagesql/villagesql-skills,2026-05-28,complete
48309501,hacker_news,discussion,Show HN: Search Router – retrieval-ready web search for AI agents,,KolibriFly,https://github.com/search-router/simple-search,2026-05-28,2,0,ai agents,hacker_news|Show HN: Search Router – retrieval-ready web search for AI agents|https://github.com/search-router/simple-search,2026-05-28,complete
48309393,hacker_news,discussion,"The enterprise security risks of autonomous AI agents, and how to manage them",,volshield,https://www.volshield.com/intel/autonomous-ai-agent-dilemma,2026-05-28,1,0,ai agents,"hacker_news|The enterprise security risks of autonomous AI agents, and how to manage them|https://www.volshield.com/intel/autonomous-ai-agent-dilemma",2026-05-28,complete
48309187,hacker_news,discussion,"DeepSWE: Measuring coding agents on original, long-horizon engineering tasks",,sss111,https://deepswe.datacurve.ai/,2026-05-28,1,0,ai agents,"hacker_news|DeepSWE: Measuring coding agents on original, long-horizon engineering tasks|https://deepswe.datacurve.ai/",2026-05-28,complete
48308911,hacker_news,discussion,AI agents get their own phone directory built atop DNS,,Bender,https://www.theregister.com/ai-ml/2026/05/28/ai-agents-get-their-own-phone-directory-built-atop-dns/5247539,2026-05-28,1,0,ai agents,hacker_news|AI agents get their own phone directory built atop DNS|https://www.theregister.com/ai-ml/2026/05/28/ai-agents-get-their-own-phone-directory-built-atop-dns/5247539,2026-05-28,complete
48308822,hacker_news,discussion,Show HN: Scan your AI agent's code for tool calls with no checks,,jguarnelli,https://github.com/Diplomat-ai/diplomat-agent-ts,2026-05-28,1,0,ai agents,hacker_news|Show HN: Scan your AI agent's code for tool calls with no checks|https://github.com/Diplomat-ai/diplomat-agent-ts,2026-05-28,complete
48308798,hacker_news,discussion,Taste Is Necessary but Not Sufficient When Working with Agents,,zazuke,https://www.ssp.sh/brain/having-taste-with-ai/,2026-05-28,3,0,ai agents,hacker_news|Taste Is Necessary but Not Sufficient When Working with Agents|https://www.ssp.sh/brain/having-taste-with-ai/,2026-05-28,complete
48308776,hacker_news,discussion,Vibe Gets to Work,,hacb,https://mistral.ai/news/vibe-agent/,2026-05-28,2,0,ai agents,hacker_news|Vibe Gets to Work|https://mistral.ai/news/vibe-agent/,2026-05-28,complete
48308648,hacker_news,discussion,"AI Agent Governance: Identity, Delegation and Permissions in Practice",,seyz,https://rootcx.com/blog/ai-agent-governance-implementation,2026-05-28,2,0,ai agents,"hacker_news|AI Agent Governance: Identity, Delegation and Permissions in Practice|https://rootcx.com/blog/ai-agent-governance-implementation",2026-05-28,complete
48308376,hacker_news,discussion,Show HN: Continue? Y/N: A 60-second game about AI agent permission fatigue,,Wirbelwind,https://llmgame.scalex.dev,2026-05-28,157,54,ai agents,hacker_news|Show HN: Continue? Y/N: A 60-second game about AI agent permission fatigue|https://llmgame.scalex.dev,2026-05-28,complete
48308157,hacker_news,discussion,Manus and Similarweb: AI Agents Meet Marketing Data,,v-mdev,https://ir.similarweb.com/news-events/press-releases/detail/139/manus-collaborates-with-similarweb-to-give-ai-agents-digital-marketing-insight,2026-05-28,2,0,ai agents,hacker_news|Manus and Similarweb: AI Agents Meet Marketing Data|https://ir.similarweb.com/news-events/press-releases/detail/139/manus-collaborates-with-similarweb-to-give-ai-agents-digital-marketing-insight,2026-05-28,complete
48308148,hacker_news,discussion,"Show HN: AG2B – Run the agent loop in the browser, expose your tools via WebMCP",,notmedia,https://ag2b.ai/docs,2026-05-28,2,0,ai agents,"hacker_news|Show HN: AG2B – Run the agent loop in the browser, expose your tools via WebMCP|https://ag2b.ai/docs",2026-05-28,complete
48308043,hacker_news,discussion,DeltaBox: Scaling Stateful AI Agents with Ms-Level Sandbox Checkpoint/Rollback,,fofoz,https://arxiv.org/abs/2605.22781,2026-05-28,2,0,ai agents,hacker_news|DeltaBox: Scaling Stateful AI Agents with Ms-Level Sandbox Checkpoint/Rollback|https://arxiv.org/abs/2605.22781,2026-05-28,complete
48307455,hacker_news,discussion,I cut my AI API costs 99% by switching from Claude to DeepSeek,,agentbc9000,https://twitter.com/kevinsays/status/2059724146221662339,2026-05-28,33,13,ai agents,hacker_news|I cut my AI API costs 99% by switching from Claude to DeepSeek|https://twitter.com/kevinsays/status/2059724146221662339,2026-05-28,complete
48307438,hacker_news,discussion,Show HN: Local Coding Agent with LLMs to Delegate Tool Calls to Small AI Models,,dsdevjay,https://github.com/district-solutions/open-agent-tools-coder,2026-05-28,9,0,ai agents,hacker_news|Show HN: Local Coding Agent with LLMs to Delegate Tool Calls to Small AI Models|https://github.com/district-solutions/open-agent-tools-coder,2026-05-28,complete
48306902,hacker_news,discussion,Show HN: I packaged a Python AI agent and Vue dashboard into one Electron app,,sir1st,https://github.com/sir1st/hermes-desktop,2026-05-28,2,0,ai agents,hacker_news|Show HN: I packaged a Python AI agent and Vue dashboard into one Electron app|https://github.com/sir1st/hermes-desktop,2026-05-28,complete
48306576,hacker_news,discussion,Superpowers: An Agentic Skills Framework for AI Coding Workflows,,v-mdev,https://github.com/obra/superpowers,2026-05-28,2,0,ai agents,hacker_news|Superpowers: An Agentic Skills Framework for AI Coding Workflows|https://github.com/obra/superpowers,2026-05-28,complete
48306196,hacker_news,discussion,Taste Skill: An Anti-Slop Front End Framework for AI Agents,,steveharing1,https://github.com/Leonxlnx/taste-skill,2026-05-28,3,0,ai agents,hacker_news|Taste Skill: An Anti-Slop Front End Framework for AI Agents|https://github.com/Leonxlnx/taste-skill,2026-05-28,complete
