record_id,source_name,title,source_url,date,summary,category,project,collected_date,Company Name,Industry,Key Figures Mentioned
1,CNBC Business RSS,Replimune to resubmit twice-rejected drug for approval after FDA shakeup,https://www.cnbc.com/2026/05/29/replimune-resubmit-melanoma-drug-fda-makary.html,2026-05-29,Replimune was among the drugmakers that had criticized the FDA for what they called inconsistent guidance around trials and approvals.,Business News,Market Intelligence Agent,2026/5/29,Replimune,Biotechnology,N/A
2,CNBC Business RSS,Our flavors are on the shelf': The evolution of Asian grocery beyond the 'ethnic aisle',https://www.cnbc.com/2026/05/29/asian-foods-beyond-ethnic-aisle.html,2026-05-29,"As interest in Asian flavors rises, mainstream grocery stores are incorporating more Asian groceries to work toward being a one-stop shop for all consumers.",Business News,Market Intelligence Agent,2026/5/29,Asian Grocery Market,Retail / Consumer Goods,N/A
3,CNBC Business RSS,Disney's ABC files early broadcast licenses renewal. FCC Chair vows to 'follow the facts',https://www.cnbc.com/2026/05/28/disney-fcc-broadcast-licenses-renewal.html,2026-05-29,"Disney said it filed renewals for eight broadcast station licenses ""under protest,"" after the FCC launched an early review years ahead of schedule. ",Business News,Market Intelligence Agent,2026/5/29,Disney,Media & Entertainment,8 broadcast licenses
4,CNBC Business RSS,Costco says it saw 'record-breaking' gas volumes amid rising prices,https://www.cnbc.com/2026/05/28/costco-cost-q3-2026-earnings.html,2026-05-28,"Costco saw ""recording-breaking volumes"" of gas sales and said rising fuel prices drove first-time members to its stations. ",Business News,Market Intelligence Agent,2026/5/29,Costco,Retail,Record-breaking gas volumes
5,CNBC Business RSS,Gap shares tumble 14% as retailer cuts sales guidance after disappointing Old Navy performance,https://www.cnbc.com/2026/05/28/gap-gap-earnings-q1-2026.html,2026-05-28,"Gap issued mixed results as sales at its largest brand, Old Navy, fell short of estimates. ",Business News,Market Intelligence Agent,2026/5/29,Gap,Retail,14% share decline
6,CNBC Business RSS,"American Eagle's Aerie is booming, but its namesake brand is lagging despite Sydney Sweeney ads",https://www.cnbc.com/2026/05/28/american-eagle-aeo-earnings-q1-2026.html,2026-05-28,American Eagle beat Wall Street's expectations but sales at its namesake banner fell short of estimates after its latest Sydney Sweeney campaign.,Business News,Market Intelligence Agent,2026/5/29,American Eagle,Retail / Apparel,N/A
7,CNBC Business RSS,"CVS to restore coverage of Zepbound, add Eli Lilly's obesity pill to drug plans",https://www.cnbc.com/2026/05/28/cvs-covers-zepbound-adds-eli-lilly-foundayo.html,2026-05-28,"CVS will add Zepbound coverage on Oct. 1, and start covering Lilly's newly approved Foundayo pill on June 1. ",Business News,Market Intelligence Agent,2026/5/29,CVS Health,Healthcare,Oct 1 coverage start
8,CNBC Business RSS,"More monthly auto loan payments are above $1,000, and most are not for luxury models",https://www.cnbc.com/2026/05/28/monthly-auto-loan-payments-above-1000-growing.html,2026-05-28,"The top five models for the $1,000-plus payments were popular pickup trucks including the Ford F-150, Chevrolet Silverado 1500 and Ram 1500. ",Business News,Market Intelligence Agent,2026/5/29,Auto Loan Market,Automotive Finance,"$1,000+ monthly payments"
9,CNBC Business RSS,New York passes Mamdani's pied-a-terre tax. Here's who pays and how much,https://www.cnbc.com/2026/05/28/new-york-mamdani-pied-a-terre-tax-passes.html,2026-05-28,Citadel CEO Ken Griffin became the face of the tax after New York City Mayor Zohran Mamdani posted a video in front of Griffin's penthouse apartment.,Business News,Market Intelligence Agent,2026/5/29,New York Real Estate,Real Estate,N/A
10,CNBC Business RSS,Best Buy stock climbs 15% on earnings beat as retailer aims to reinvigorate sales,https://www.cnbc.com/2026/05/28/best-buy-bby-q1-2027-earnings.html,2026-05-28,Best Buy reported better-than-expected earnings on Thursday as the company works toward turning around its sales slump.,Business News,Market Intelligence Agent,2026/5/29,Best Buy,Consumer Electronics Retail,15% stock increase
11,CNBC Business RSS,New '60 Minutes' head Nick Bilton says Paramount's CBS News hired him to pivot the show before ratings decline,https://www.cnbc.com/2026/05/28/60-minutes-head-nick-bilton-show-ratings.html,2026-05-28,"Nick Bilton is a former New York Times columnist and has made several documentaries for Netflix, where he worked with CBS News editor-in-chief Bari Weiss.",Business News,Market Intelligence Agent,2026/5/29,Paramount / CBS,Media,N/A
12,CNBC Business RSS,Kohl's stock spikes 20% as slumping retailer says sales trends are improving,https://www.cnbc.com/2026/05/28/kohls-kss-earnings-q1-2026.html,2026-05-28,Kohl's reported its best comparable sales growth in four years on Thursday even as it saw revenue decline.,Business News,Market Intelligence Agent,2026/5/29,Kohl's,Retail,20% stock increase
13,CNBC Business RSS,Jamie Dimon says JPMorgan Chase could spend $20 billion on acquisition: 'We are on the lookout',https://www.cnbc.com/2026/05/27/jamie-dimon-jpmorgan-chase-acquisition-target-size.html,2026-05-27,A $20 billion deal would be among the largest in JPMorgan's history and could invite regulatory scrutiny given its position as the largest U.S. bank by assets.,Business News,Market Intelligence Agent,2026/5/29,JPMorgan Chase,Banking,$20 billion
14,CNBC Business RSS,Boeing CEO says company met requirements to increase 737 Max production to 47 jets per month,https://www.cnbc.com/2026/05/27/boeing-ortberg-737-max-production.html,2026-05-27,Boeing CEO Kelly Ortberg said the company has met FAA requirements to ramp up its production of 737 Max aircraft to 47 per month. ,Business News,Market Intelligence Agent,2026/5/29,Boeing,Aerospace,47 jets per month
15,CNBC Business RSS,"Lululemon settles proxy battle with founder Chip Wilson, agrees to two board nominees",https://www.cnbc.com/2026/05/27/lululemon-settles-proxy-battle-with-founder-chip-wilson.html,2026-05-27,"Lululemon has been battling with founder Chip Wilson since December, as he says the company has lost its strategic vision and needs a new board of directors.",Business News,Market Intelligence Agent,2026/5/29,Lululemon,Apparel,N/A
16,CNBC Business RSS,Abercrombie shares jump 12% on earnings beat even as Iran conflict hits sales,https://www.cnbc.com/2026/05/27/abercrombie-fitch-anf-earnings-q1-2026.html,2026-05-27,"Abercrombie & Fitch saw sales in Europe, Middle East and Africa decline by 10%, thanks in large part to the conflict in the Middle East. ",Business News,Market Intelligence Agent,2026/5/29,Abercrombie & Fitch,Retail / Apparel,10% decline
17,CNBC Business RSS,Foot Locker returns to growth but weighs on Dick's Sporting Goods as earnings miss,https://www.cnbc.com/2026/05/27/dicks-sporting-goods-dks-earnings-q1-2026.html,2026-05-27,"Since acquiring Foot Locker, Dick's Sporting Goods sales have surged, but its profitability has taken a hit given the high costs of the brand's turnaround.",Business News,Market Intelligence Agent,2026/5/29,Dick's Sporting Goods,Retail,N/A
