title,platform,skill_tags,summary,source,source_url,date,record_quality
AWS Elastic Kubernetes Engineer,AWS,"aws, kubernetes, docker, devops, cloud-general",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-05-19,complete
AWS Step Functions new features for orchestration,AWS,"aws, pipeline, serverless, lambda, cloud-general",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-05-17,complete
Google Cloud VMware Engine storage policy update,GCP,"gcp, storage, cloud-general, compute, networking",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-05-17,complete
AWS Certified Database Specialty exam registration open,AWS,"certification, aws, data, rds, storage",AWS blog post covering certification and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-05-16,complete
AWS Cloud Practitioner Trainer,AWS,"aws, certification, cloud-general, architect, data",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-05-14,complete
Amazon GuardDuty threat detection for EKS,AWS,"security, aws, kubernetes, iam, cloud-general",AWS blog post covering security and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-05-13,complete
Amazon Athena query federation improvements,AWS,"data, aws, cloud-general, storage, s3",AWS blog post covering data and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-05-05,complete
Dataflow flexible resource scheduling updates,GCP,"pipeline, gcp, data, cloud-general, compute",Google Cloud release note or blog post about pipeline services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-05-05,complete
Cloud Monitoring Specialist,Multi-Cloud,"cloudwatch, aws, gcp, cloud-general, devops",Cloud job posting requiring expertise in cloudwatch with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-05-02,complete
GCP Vertex AI Engineer,GCP,"gcp, data, compute, pipeline, cloud-general",Cloud job posting requiring expertise in gcp with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-05-01,complete
Recommendations AI next-gen model improvements,GCP,"gcp, data, cloud-general, compute, pipeline",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-04-24,complete
Cloud Deploy progressive delivery for GKE,GCP,"devops, gcp, kubernetes, pipeline, cloud-general",Google Cloud release note or blog post about devops services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-04-20,complete
Amazon S3 Intelligent-Tiering now covers Glacier tiers,AWS,"s3, storage, aws, data, cloud-general",AWS blog post covering s3 and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-04-16,complete
Apigee API hub for API lifecycle management,GCP,"gcp, cloud-general, data, networking, architect",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-04-13,complete
Amazon DynamoDB global tables performance improvements,AWS,"aws, data, storage, cloud-general, networking",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-04-10,complete
Google Cloud AI Infrastructure TPU v4 performance,GCP,"gcp, compute, cloud-general, data, architect",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-04-08,complete
BigQuery new streaming inserts performance update,GCP,"bigquery, gcp, data, pipeline, cloud-general",Google Cloud release note or blog post about bigquery services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-04-07,complete
Cloud Trace distributed tracing improvements,GCP,"gcp, cloud-general, compute, cloudwatch, data",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-04-04,complete
AWS Certified Solutions Architect – Associate exam update,AWS,"certification, aws, architect, cloud-general, iam",AWS blog post covering certification and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-04-03,complete
Cloud Armor advanced threat intelligence features,GCP,"security, gcp, networking, cloud-general, iam",Google Cloud release note or blog post about security services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-04-01,complete
AWS Certified DevOps Engineer study guide,AWS,"certification, devops, aws, pipeline, cloud-general",AWS blog post covering certification and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-03-29,complete
Cloud IAM Engineer,Multi-Cloud,"iam, security, aws, azure, cloud-general",Cloud job posting requiring expertise in iam with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-03-27,complete
Amazon Aurora Serverless v2 general availability,AWS,"aws, serverless, rds, data, storage",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-03-18,complete
Site Reliability Engineer,Multi-Cloud,"kubernetes, devops, aws, cloud-general, compute",Cloud job posting requiring expertise in kubernetes with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-03-15,complete
Amazon EventBridge Pipes generally available,AWS,"aws, serverless, pipeline, data, cloud-general",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-03-13,complete
Cloud Build private pools for secure CI/CD,GCP,"devops, gcp, pipeline, security, cloud-general",Google Cloud release note or blog post about devops services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-03-07,complete
Amazon EC2 Auto Scaling now supports mixed instances,AWS,"ec2, aws, compute, cloud-general, architect",AWS blog post covering ec2 and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-03-03,complete
Amazon Comprehend Medical entity detection update,AWS,"aws, data, cloud-general, compute, pipeline",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-03-01,complete
Cloud Automation Engineer,Multi-Cloud,"terraform, devops, aws, pipeline, cloud-general",Cloud job posting requiring expertise in terraform with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-03-01,complete
AWS Certified Cloud Practitioner Foundational exam tips,AWS,"certification, aws, cloud-general, architect, data",AWS blog post covering certification and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-02-27,complete
